activity_description,activity_description_fixed,isic_code,isic_code_fixed,isic_code_ref,isic_code_len,isic_code_fixed_len,isic_description_nisr,isic_description_un,isic_description_final,isic_code_target
"KUDANDAZA HIGANJEMO IBIRIBWA : DODO, INYANYA","kudandaza higanjemo ibiribwa : dodo, inyanya",4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBUDANDAZI BW'IMYENDA MU ISOKO,ubudandazi bw'imyenda mu isoko,4782,4782,4782,4,4,"Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear",4782
UBUHINZI BW' IBIHINGWA BIVANGAVANZE,ubuhinzi bw'ibihingwa bivangavanze,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
ubucuruzi bw'Ibiribwa,ubucuruzi bw'ibiribwa,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
Ubucuruzi bw'ibiribwa n'ibinyobwa,ubucuruzi bw'ibiribwa n'ibinyobwa,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
gucuruza,gucuruza,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
kudandaza inyama muri boucheri,kudandaza inyama muri boucheri,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
ubundandazi bw imyenda,ubundandazi bw imyenda,4771,4771,4771,4,4,"Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores",4771
CLEARING & FORWADING,clearing & forwading,5229,5229,5229,4,4,Other transportation support activities,Other transportation support activities,Other transportation support activities,5555
UBUHINZI BWO GUTUNGA URUGO,ubuhinzi bwo gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
SERVICES ZA RESTAURANT,services za restaurant,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
UBUHINZI BW'IBISHYIMBO,ubuhinzi bw'ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
BACURUZA IBYO KURYA NIBYO KUNYWA,bacuruza ibyo kurya nibyo kunywa,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
UBWOROZI BW'INKA,ubworozi bw'inka,141,141,141,3,4,Raising of cattle and buffaloes,Raising of cattle and buffaloes,Raising of cattle and buffaloes,141
GUHINGA IMYUMBATI,guhinga imyumbati,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
UBWUBATSI BWAMAZU,ubwubatsi bwamazu,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
UBUCURUZI BUDANDAZA INKWETO,ubucuruzi budandaza inkweto,4771,4771,4771,4,4,"Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores",4771
"ubudandazi bwibiribwa higanjemo umunyu, amavuta yo kurya, ifu","ubudandazi bwibiribwa higanjemo umunyu, amavuta yo kurya, ifu",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
GUCURUZA IBYAYI &AMANDAZI,gucuruza ibyayi &amandazi,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
Akabari k inzoga,akabari k inzoga,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
Ubucuruzi budandaza muri butike bwiganjemo ibiribwa,ubucuruzi budandaza muri butike bwiganjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUCUKUZI BWAMABUYE YAGACIRO,ubucukuzi bwamabuye yagaciro,729,729,729,3,4,Mining of other non-ferrous metal ores,Mining of other non-ferrous metal ores,Mining of other non-ferrous metal ores,729
UBUCUKUZI BW'UMUCANGA,ubucukuzi bw'umucanga,810,810,810,3,4,"Quarrying of stone, sand and clay","Quarrying of stone, sand and clay","Quarrying of stone, sand and clay",810
Ubucutuzi bw'ubuki(ubuvumvu),ubucutuzi bw'ubuki(ubuvumvu),9411,9411,9411,4,4, Activities of business and employers membership organizations,Activities of business and employers membership organizations, Activities of business and employers membership organizations,9411
boutique idandaza yiganjemo ibiribwa,boutique idandaza yiganjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
gusya ifu yibigori yamasaka,gusya ifu yibigori yamasaka,1061,1061,1061,4,4,Manufacture of grain mill products,Manufacture of grain mill products,Manufacture of grain mill products,1061
ubucuruzi budandaza ubunconsho,ubucuruzi budandaza ubunconsho,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
Acuruza ibyo kurya no kunywa muri boutiqwe,acuruza ibyo kurya no kunywa muri boutiqwe,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBWOROZI BW'INKA,ubworozi bw'inka,141,141,141,3,4,Raising of cattle and buffaloes,Raising of cattle and buffaloes,Raising of cattle and buffaloes,141
IMIRIMO YO MU RUGO,imirimo yo mu rugo,9700,9700,9700,4,4,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,9700
kugabura no gutanga ibinyobwa,kugabura no gutanga ibinyobwa,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
Boutique idandaza gaconsho,boutique idandaza gaconsho,4773,4773,4773,4,4,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,4773
GUSUKA IMISATSI,gusuka imisatsi,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
ubucuruzi bw'inzonga,ubucuruzi bw'inzonga,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
STAND IDANDAZA IBITUNGURU,stand idandaza ibitunguru,4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
GUKORA INTEBE N'AMEZA,gukora intebe n'ameza,3100,3100,3100,4,4,Manufacture of furniture,Manufacture of furniture,Manufacture of furniture,3100
ubudandazi bwibikoresho bomurugo higanjemo ameza nintebe,ubudandazi bwibikoresho bomurugo higanjemo ameza nintebe,4759,4759,4759,4,4,"Retail sale of electrical household appliances, furniture, lighting equipment andother household articles in specialized stores","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","Retail sale of electrical household appliances, furniture, lighting equipment andother household articles in specialized stores",4759
gucukura umucanga,gucukura umucanga,810,810,810,3,4,"Quarrying of stone, sand and clay","Quarrying of stone, sand and clay","Quarrying of stone, sand and clay",810
gucuruza service,gucuruza service,4761,4761,4761,4,4," Retail sale of books, newspapers and stationary in specialized stores","Retail sale of books, newspapers and stationary in specialized stores"," Retail sale of books, newspapers and stationary in specialized stores",4761
UBUCURUZI BW UMUTUBE,ubucuruzi bw umutube,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
ubudandazi bw'imyenda,ubudandazi bw'imyenda,4771,4771,4771,4,4,"Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores",4771
IMIRIMO YO MURUGO,imirimo yo murugo,9700,9700,9700,4,4,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,9700
UBUHINZI BW' IBIJUMBA,ubuhinzi bw'ibijumba,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
guha abantu ibyokurya,guha abantu ibyokurya,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
GUTWARA IMIZIGO,gutwara imizigo,4922,4922,4922,4,4,Other passenger land transport,Other passenger land transport,Other passenger land transport,4922
ubudandazi bw'inyanya mw'isoko,ubudandazi bw'inyanya mw'isoko,4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
UBUHINZI BWOROZIBUTUNGA URUGO,ubuhinzi bworozibutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
UBUCURUZI BUDANDAZA IBINTU BITANDUKANYE,ubucuruzi budandaza ibintu bitandukanye,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
GUTWARA ABANTU MU MODOKA,gutwara abantu mu modoka,4921,4921,4921,4,4,Urban and suburban passenger land transport,Urban and suburban passenger land transport,Urban and suburban passenger land transport,4921
adandaza ibiribwa (ibirayi nibitoki)abicururiza munzu,adandaza ibiribwa (ibirayi nibitoki)abicururiza munzu,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
"ubucuruzi bw'umuceri, kawunga,isukari muri boutique ya Nshimiyimana Jean Paul","ubucuruzi bw'umuceri, kawunga,isukari muri boutique ya nshimiyimana jean paul",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
gucuruza icyayi n'imikati,gucuruza icyayi n'imikati,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
gucuruza butike,gucuruza butike,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
Gucuruza urwagwa,gucuruza urwagwa,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
"gusya amasaka,ibigori","gusya amasaka,ibigori",1061,1061,1061,4,4,Manufacture of grain mill products,Manufacture of grain mill products,Manufacture of grain mill products,1061
